Timestamp,MMSI,Latitude,Longitude,Speed,Course-sin,Course-cos,Length,Width,Vesseltype,Distance,Timestamp,MMSI,Latitude,Longitude,Speed,Course-sin,Course-cos,Length,Width,Vesseltype,Distance,Timestamp,MMSI,Latitude,Longitude,Speed,Course-sin,Course-cos,Length,Width,Vesseltype,Distance,WindDirection,WindSpeed,Visibility
1612130882.0,367654260.0,37.818137,-122.450178,18.044503,-0.998265,0.058888,60.0,16.0,4.0,0.813145,1612130882.0,368060190.0,37.805794,-122.485959,19.039079,-0.652366,-0.757904,50.0,21.0,6.0,0.90886,1612130882.0,431851000.0,37.800387,-122.513734,15.862869,0.840306,0.542113,70.0,199.0,38.0,0.883935,292.5055555555556,7.250555555555556,10.0
1612130883.0,367654260.0,37.818142,-122.450283,17.880532,-0.998253,0.059084,60.0,16.0,4.0,0.808352,1612130883.0,368060190.0,37.805727,-122.486032,19.048737,-0.657225,-0.753695,50.0,21.0,6.0,0.905834,1612130883.0,431851000.0,37.800427,-122.513656,15.843879,0.839674,0.54309,70.0,199.0,38.0,0.880513,292.5083333333333,7.250833333333333,10.0
1612130884.0,367654260.0,37.818147,-122.450388,17.718975,-0.998242,0.059269,60.0,16.0,4.0,0.803604,1612130884.0,368060190.0,37.805661,-122.486105,19.058257,-0.661968,-0.749532,50.0,21.0,6.0,0.902797,1612130884.0,431851000.0,37.800467,-122.513579,15.825194,0.83905,0.544054,70.0,199.0,38.0,0.877097,292.5111111111111,7.251111111111111,10.0
1612130885.0,367654260.0,37.818152,-122.450492,17.559831,-0.998232,0.059442,60.0,16.0,4.0,0.798898,1612130885.0,368060190.0,37.805595,-122.486179,19.067596,-0.666598,-0.745417,50.0,21.0,6.0,0.899748,1612130885.0,431851000.0,37.800507,-122.513501,15.806813,0.838432,0.545006,70.0,199.0,38.0,0.873684,292.5138888888889,7.251388888888889,10.0
1612130886.0,367654260.0,37.818156,-122.450594,17.4031,-0.998222,0.059604,60.0,16.0,4.0,0.794235,1612130886.0,368060190.0,37.805529,-122.486253,19.076714,-0.671117,-0.741352,50.0,21.0,6.0,0.896687,1612130886.0,431851000.0,37.800547,-122.513423,15.788736,0.837821,0.545945,70.0,199.0,38.0,0.870277,292.51666666666665,7.251666666666667,10.0
1612130887.0,367654260.0,37.818161,-122.450696,17.248783,-0.998213,0.059753,60.0,16.0,4.0,0.789613,1612130887.0,368060190.0,37.805464,-122.486328,19.085573,-0.675525,-0.737337,50.0,21.0,6.0,0.893616,1612130887.0,431851000.0,37.800586,-122.513346,15.770961,0.837217,0.546871,70.0,199.0,38.0,0.866874,292.51944444444445,7.251944444444445,10.0
1612130888.0,367654260.0,37.818166,-122.450797,17.096878,-0.998205,0.059889,60.0,16.0,4.0,0.785033,1612130888.0,368060190.0,37.805399,-122.486404,19.094132,-0.679824,-0.733375,50.0,21.0,6.0,0.890533,1612130888.0,431851000.0,37.800626,-122.513268,15.753488,0.83662,0.547784,70.0,199.0,38.0,0.863476,292.52222222222224,7.252222222222223,10.0
1612130889.0,367654260.0,37.818171,-122.450897,16.947386,-0.998198,0.060012,60.0,16.0,4.0,0.780493,1612130889.0,368060190.0,37.805334,-122.48648,19.102356,-0.684017,-0.729467,50.0,21.0,6.0,0.887439,1612130889.0,431851000.0,37.800666,-122.513191,15.736315,0.83603,0.548684,70.0,199.0,38.0,0.860082,292.525,7.2525,10.0
1612130890.0,367654260.0,37.818175,-122.450996,16.800307,-0.998191,0.060122,60.0,16.0,4.0,0.775992,1612130890.0,368060190.0,37.805269,-122.486556,19.110207,-0.688104,-0.725612,50.0,21.0,6.0,0.884336,1612130890.0,431851000.0,37.800706,-122.513114,15.719443,0.835447,0.549571,70.0,199.0,38.0,0.856692,292.52777777777777,7.252777777777778,10.0
1612130891.0,367654260.0,37.81818,-122.451094,16.65564,-0.998185,0.060218,60.0,16.0,4.0,0.771531,1612130891.0,368060190.0,37.805205,-122.486633,19.117649,-0.692088,-0.721813,50.0,21.0,6.0,0.881222,1612130891.0,431851000.0,37.800746,-122.513037,15.702869,0.834871,0.550446,70.0,199.0,38.0,0.853306,292.5305555555556,7.253055555555555,10.0
1612130892.0,367654260.0,37.818185,-122.451191,16.513386,-0.99818,0.0603,60.0,16.0,4.0,0.767108,1612130892.0,368060190.0,37.805141,-122.486711,19.124647,-0.69597,-0.718071,50.0,21.0,6.0,0.878098,1612130892.0,431851000.0,37.800786,-122.512961,15.686594,0.834303,0.551307,70.0,199.0,38.0,0.849925,292.53333333333336,7.253333333333333,10.0
1612130893.0,367654260.0,37.818189,-122.451288,16.373544,-0.998176,0.060366,60.0,16.0,4.0,0.762724,1612130893.0,368060190.0,37.805078,-122.486789,19.131168,-0.699752,-0.714386,50.0,21.0,6.0,0.874965,1612130893.0,431851000.0,37.800826,-122.512884,15.670617,0.833742,0.552154,70.0,199.0,38.0,0.846548,292.5361111111111,7.253611111111111,10.0
